filename,width,height,class,xmin,ymin,xmax,ymax
GUN_1.jpg,800,600,GUN,17,33,792,580
GUN_10.jpg,800,600,GUN,8,33,794,529
GUN_11.jpg,800,600,GUN,239,64,693,520
GUN_12.jpg,800,600,GUN,76,87,700,576
GUN_13.jpg,800,600,GUN,86,74,719,524
GUN_14.jpg,800,600,GUN,84,70,720,534
GUN_15.jpg,800,600,GUN,19,39,789,544
GUN_16.jpg,800,600,GUN,1,1,610,234
GUN_17.jpg,800,600,GUN,137,78,732,458
GUN_18.jpg,800,600,GUN,36,48,771,498
GUN_19.jpg,800,600,GUN,70,58,444,487
GUN_19.jpg,800,600,GUN,499,262,734,541
GUN_2.jpg,800,600,GUN,9,38,777,542
GUN_20.jpg,800,600,GUN,208,8,784,551
GUN_21.jpg,800,600,GUN,209,12,785,550
GUN_22.jpg,800,600,GUN,109,118,582,600
GUN_23.jpg,800,600,GUN,102,140,755,451
GUN_24.jpg,800,600,GUN,91,74,717,526
GUN_25.jpg,800,600,GUN,212,7,785,554
GUN_26.jpg,800,600,GUN,2,3,800,479
GUN_27.jpg,800,600,GUN,71,37,723,581
GUN_29.jpg,800,600,GUN,137,81,736,458
GUN_3.jpg,800,600,GUN,7,36,776,545
GUN_31.jpg,800,600,GUN,71,36,722,584
GUN_32.jpg,800,600,GUN,71,37,726,586
GUN_33.jpg,800,600,GUN,136,59,720,545
GUN_34.jpg,800,600,GUN,214,217,708,600
GUN_35.jpg,800,600,GUN,137,70,716,544
GUN_36.jpg,800,600,GUN,3,8,800,600
GUN_37.jpg,800,600,GUN,97,177,646,464
GUN_38.jpg,800,600,GUN,37,176,777,592
GUN_39.jpg,800,600,GUN,3,4,674,584
GUN_4.jpg,800,600,GUN,34,57,755,376
GUN_40.jpg,800,600,GUN,3,56,800,600
GUN_41.jpg,800,600,GUN,90,164,715,464
GUN_42.jpg,800,600,GUN,9,16,800,533
GUN_43.jpg,800,600,GUN,13,21,783,556
GUN_44.jpg,800,600,GUN,104,174,540,322
GUN_45.jpg,800,600,GUN,211,218,707,600
GUN_46.jpg,800,600,GUN,222,1,463,570
GUN_47.jpg,800,600,GUN,118,129,657,457
GUN_48.jpg,800,600,GUN,7,131,794,467
GUN_49.jpg,800,600,GUN,30,206,771,444
GUN_5.jpg,800,600,GUN,21,40,791,580
GUN_50.jpg,800,600,GUN,19,34,774,567
GUN_51.jpg,800,600,GUN,7,148,800,447
GUN_52.jpg,800,600,GUN,112,140,759,444
GUN_53.jpg,800,600,GUN,83,161,717,469
GUN_54.jpg,800,600,GUN,187,62,632,552
GUN_55.jpg,800,600,GUN,8,41,790,570
GUN_56.jpg,800,600,GUN,103,114,577,600
GUN_57.jpg,800,600,GUN,1,82,796,599
GUN_58.jpg,800,600,GUN,12,159,794,471
GUN_59.jpg,800,600,GUN,29,44,756,543
GUN_6.jpg,800,600,GUN,30,64,731,374
GUN_60.jpg,800,600,GUN,1,5,793,570
GUN_61.jpg,800,600,GUN,43,265,730,365
GUN_62.jpg,800,600,GUN,1,217,800,393
GUN_63.jpg,800,600,GUN,19,117,738,527
GUN_64.jpg,800,600,GUN,2,180,787,413
GUN_65.jpg,800,600,GUN,117,10,719,573
GUN_66.jpg,800,600,GUN,27,24,800,597
GUN_67.jpg,800,600,GUN,110,114,584,600
GUN_68.jpg,800,600,GUN,1,126,800,503
